Attrition_Flag,Customer_Age,Gender,Education_Level,Card_Category,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Income_Category_final,customer
Existing Customer,41,M,Graduate,Blue,2517,1.726,1589,24,1.667,0.282,SecondClass,Customer N_23
Existing Customer,53,F,College,Blue,1490,1.75,1411,28,1,0.562,SecondClass,Customer N_24
Existing Customer,58,M,Graduate,Blue,1696,0.519,1291,24,0.714,0.135,FirstClass,Customer N_25
Existing Customer,55,F,College,Blue,1914,0.51,1407,43,0.483,0.544,SecondClass,Customer N_26
Existing Customer,55,F,Graduate,Blue,2298,1.724,1877,37,1.176,0.757,SecondClass,Customer N_27
Existing Customer,42,F,High School,Gold,0,0.865,966,22,1.2,0,SecondClass,Customer N_28
Existing Customer,57,F,Graduate,Blue,886,1.32,1464,28,0.556,0.241,SecondClass,Customer N_29
Existing Customer,45,M,Graduate,Blue,578,1.042,1109,28,0.474,0.018,FirstClass,Customer N_30
Existing Customer,50,F,College,Silver,2517,1.449,1756,33,1.2,0.145,SecondClass,Customer N_31
Existing Customer,49,M,High School,Blue,0,1.214,1756,32,1,0,SecondClass,Customer N_32
Existing Customer,49,M,Uneducated,Blue,0,1.621,1444,28,1.333,0,FirstClass,Customer N_33
Existing Customer,56,M,Doctorate,Blue,1430,2.316,1741,27,0.588,0.626,SecondClass,Customer N_34
Existing Customer,59,M,Doctorate,Blue,2020,2.357,1719,27,1.7,0.793,SecondClass,Customer N_35
Existing Customer,46,M,High School,Blue,1435,0.787,1217,27,0.8,0.074,FirstClass,Customer N_36
Existing Customer,52,M,College,Blue,1227,0.624,1140,40,0.6,0.259,FirstClass,Customer N_37
Attrited Customer,54,F,Graduate,Blue,808,0.997,705,19,0.9,0.562,SecondClass,Customer N_38
Existing Customer,66,F,High School,Blue,2179,1.224,1946,38,1.923,0.687,SecondClass,Customer N_39
Attrited Customer,56,M,Graduate,Blue,0,1.041,602,15,0.364,0,FirstClass,Customer N_40
Existing Customer,49,F,Graduate,Blue,2200,0.678,1052,32,0.6,0.667,SecondClass,Customer N_41
Existing Customer,49,F,Graduate,Blue,2363,0.75,1295,40,0.6,0.843,SecondClass,Customer N_42
Existing Customer,56,M,Uneducated,Blue,1880,1.107,1424,29,1.417,0.422,SecondClass,Customer N_43
Existing Customer,42,M,High School,Blue,1753,0.69,1168,27,1.25,0.525,SecondClass,Customer N_44
Attrited Customer,48,M,Graduate,Silver,0,0.763,691,15,0.5,0,SecondClass,Customer N_45
Existing Customer,39,M,High School,Blue,1251,0.944,1316,28,1.154,0.211,SecondClass,Customer N_46
Existing Customer,44,M,Post-Graduate,Blue,2102,0.997,1276,26,0.733,0.088,FirstClass,Customer N_47
Existing Customer,53,M,High School,Blue,1634,0.989,1289,23,0.917,0.111,FirstClass,Customer N_48
Existing Customer,51,M,Uneducated,Silver,1515,0.592,1293,32,0.6,0.044,FirstClass,Customer N_49
Existing Customer,57,M,College,Blue,1817,0.62,1353,35,0.667,0.276,SecondClass,Customer N_50
Existing Customer,44,F,Uneducated,Blue,1468,1.004,1132,28,0.556,0.704,SecondClass,Customer N_51
Existing Customer,49,M,Graduate,Blue,1107,1.715,1670,17,2.4,0.656,SecondClass,Customer N_52
Existing Customer,50,M,Doctorate,Blue,1330,1.072,837,15,2,0.053,FirstClass,Customer N_53
Existing Customer,51,M,Graduate,Blue,1763,1.266,1550,41,1.05,0.051,FirstClass,Customer N_54
Existing Customer,55,F,Graduate,Blue,1034,0.758,1540,36,0.286,0.467,SecondClass,Customer N_55
Existing Customer,54,M,Graduate,Blue,2030,0.769,1256,21,0.4,0.698,SecondClass,Customer N_56
Existing Customer,42,M,Uneducated,Blue,1528,0.414,1394,35,0.522,0.067,FirstClass,Customer N_57
Existing Customer,44,M,College,Blue,1932,1.312,1341,24,1.182,0.079,SecondClass,Customer N_58
Existing Customer,53,M,Graduate,Blue,1515,0.857,1289,33,0.435,0.287,FirstClass,Customer N_59
Existing Customer,44,F,Graduate,Blue,2517,0.475,1112,23,1.875,0.36,SecondClass,Customer N_60
Existing Customer,37,F,Uneducated,Blue,1801,0.751,2339,57,0.966,0.256,SecondClass,Customer N_61
Existing Customer,49,M,Graduate,Blue,1823,0.703,1468,23,0.353,0.719,SecondClass,Customer N_62
Existing Customer,47,M,Graduate,Blue,1899,0.85,1334,35,0.4,0.066,FirstClass,Customer N_63
Existing Customer,47,M,Graduate,Blue,1695,1.242,1457,41,1.412,0.198,SecondClass,Customer N_64
Existing Customer,53,M,Graduate,Blue,1219,1.129,1590,27,2,0.035,FirstClass,Customer N_65
Existing Customer,52,M,Graduate,Blue,1910,0.921,1531,35,0.667,0.619,SecondClass,Customer N_66
Existing Customer,53,M,High School,Blue,2056,0.607,1212,31,0.722,0.108,FirstClass,Customer N_67
Existing Customer,43,F,Uneducated,Blue,0,0.483,1237,32,0.6,0,SecondClass,Customer N_68
Existing Customer,44,M,High School,Blue,837,1.932,1413,14,1.8,0.066,SecondClass,Customer N_69
Existing Customer,51,F,High School,Blue,0,0.731,1276,21,1.333,0,SecondClass,Customer N_70
Existing Customer,49,M,High School,Blue,1953,0.875,1564,35,2.182,0.062,FirstClass,Customer N_71
Existing Customer,45,M,Graduate,Blue,0,0.579,1465,34,0.619,0,SecondClass,Customer N_72
Existing Customer,53,M,Graduate,Blue,2037,0.85,1286,29,0.933,0.765,FirstClass,Customer N_73
Existing Customer,64,M,Graduate,Blue,895,1.656,1673,32,0.882,0.524,SecondClass,Customer N_74
Existing Customer,45,M,Graduate,Blue,1200,0.597,1313,30,0.304,0.347,SecondClass,Customer N_75
Existing Customer,53,M,Doctorate,Blue,1706,1.047,1609,42,0.68,0.45,SecondClass,Customer N_76
Existing Customer,56,M,College,Blue,2250,0.576,1158,19,0.727,0.232,FirstClass,Customer N_77
Existing Customer,53,M,Graduate,Blue,1264,0.562,1259,33,0.5,0.43,FirstClass,Customer N_78
Existing Customer,44,F,Graduate,Blue,1879,0.788,1298,15,1.5,0.62,SecondClass,Customer N_79
Existing Customer,44,M,High School,Blue,0,0.883,1226,34,0.789,0,SecondClass,Customer N_80
Existing Customer,43,F,Post-Graduate,Blue,926,0.762,1566,37,0.542,0.111,SecondClass,Customer N_81
Existing Customer,53,M,Post-Graduate,Blue,931,0.828,1022,21,1.1,0.027,FirstClass,Customer N_82
Existing Customer,44,M,Uneducated,Blue,2440,1.283,1235,30,0.667,0.169,SecondClass,Customer N_83
Existing Customer,57,M,Graduate,Blue,1886,0.56,1342,32,0.391,0.223,SecondClass,Customer N_84
Existing Customer,42,M,High School,Blue,1674,0.588,1251,35,0.346,0.513,SecondClass,Customer N_85
Existing Customer,54,F,Uneducated,Blue,706,1.674,1305,24,3,0.473,SecondClass,Customer N_86
Existing Customer,48,M,Graduate,Blue,1294,0.791,1388,37,1.056,0.095,FirstClass,Customer N_87
Existing Customer,49,M,Graduate,Blue,895,1.826,1235,18,1.571,0.047,FirstClass,Customer N_88
Existing Customer,52,M,High School,Blue,1273,1.024,2089,36,1.118,0.106,FirstClass,Customer N_89
Existing Customer,50,M,High School,Blue,1559,1.873,1626,25,0.786,0.156,FirstClass,Customer N_90
Existing Customer,49,M,Doctorate,Blue,1196,0.712,1111,24,1,0.05,SecondClass,Customer N_91
Existing Customer,53,F,High School,Blue,1901,0.816,1553,38,1,0.355,SecondClass,Customer N_92
Existing Customer,50,M,Graduate,Blue,1023,1.004,1064,13,0.625,0.03,FirstClass,Customer N_93
Existing Customer,55,F,Doctorate,Blue,1951,0.766,1243,29,0.611,0.615,SecondClass,Customer N_94
Existing Customer,53,M,High School,Blue,1836,1.584,1659,38,1.533,0.15,FirstClass,Customer N_95
Existing Customer,47,F,High School,Blue,1540,0.566,1594,47,0.382,0.407,SecondClass,Customer N_96
Existing Customer,55,M,College,Silver,1527,0.526,1268,42,0.355,0.044,FirstClass,Customer N_97
Existing Customer,47,M,Graduate,Blue,0,0.676,1304,24,0.846,0,SecondClass,Customer N_98
Existing Customer,58,M,Graduate,Blue,0,0.567,1368,30,0.364,0,FirstClass,Customer N_99
Attrited Customer,53,M,Graduate,Blue,2227,0.622,720,23,0.353,0.191,FirstClass,Customer N_100
Existing Customer,52,M,High School,Blue,1300,0.846,1521,29,1.417,0.096,SecondClass,Customer N_101
Existing Customer,50,F,Uneducated,Silver,2090,0.7,1137,30,0.765,0.176,SecondClass,Customer N_102
Existing Customer,42,F,Graduate,Blue,1985,0.788,978,16,0.778,0.83,SecondClass,Customer N_103
Existing Customer,57,M,Graduate,Blue,1662,1.186,1565,28,1.545,0.086,FirstClass,Customer N_104
Existing Customer,52,M,Graduate,Blue,2517,1.541,1578,34,0.7,0.678,FirstClass,Customer N_105
Existing Customer,47,M,Doctorate,Blue,797,0.541,1493,32,1,0.246,SecondClass,Customer N_106
Existing Customer,44,F,Graduate,Blue,788,0.688,1178,27,0.929,0.067,SecondClass,Customer N_107
Existing Customer,53,M,High School,Blue,2100,0.839,991,26,0.733,0.271,SecondClass,Customer N_108
Existing Customer,45,M,College,Blue,1186,1.689,2560,42,1.211,0.114,SecondClass,Customer N_109
Existing Customer,39,F,Post-Graduate,Blue,2517,0.939,1204,19,0.727,0.406,SecondClass,Customer N_110
Attrited Customer,48,F,High School,Blue,0,0.654,673,18,0.8,0,SecondClass,Customer N_111
Existing Customer,54,M,Graduate,Blue,2517,1.996,1576,25,1.5,0.169,FirstClass,Customer N_112
Existing Customer,59,F,Graduate,Blue,1128,0.397,1217,20,0.667,0.178,SecondClass,Customer N_113
Attrited Customer,59,M,College,Blue,0,0.71,530,10,1,0,SecondClass,Customer N_114
Attrited Customer,48,F,Uneducated,Blue,0,0.76,739,16,0.455,0,SecondClass,Customer N_115
Existing Customer,41,F,Graduate,Blue,2117,1.162,1617,31,2.875,0.941,SecondClass,Customer N_116
Existing Customer,55,M,Graduate,Blue,1536,1.317,1592,34,1,0.141,FirstClass,Customer N_117
Existing Customer,41,M,High School,Blue,1104,0.572,1303,39,0.625,0.118,FirstClass,Customer N_118
Existing Customer,40,M,High School,Blue,0,1.047,1351,22,0.467,0,FirstClass,Customer N_119
Existing Customer,50,F,Graduate,Silver,0,0.868,1298,22,0.571,0,SecondClass,Customer N_120
Existing Customer,47,M,Uneducated,Blue,1540,0.469,1087,29,1.231,0.64,SecondClass,Customer N_121
Existing Customer,53,F,College,Blue,930,2.121,1439,26,1.364,0.432,SecondClass,Customer N_122
Existing Customer,48,F,High School,Blue,0,1.373,1716,29,0.812,0,SecondClass,Customer N_123
Existing Customer,49,M,Doctorate,Blue,618,0.554,1099,27,0.8,0.066,FirstClass,Customer N_124
Existing Customer,43,F,Graduate,Blue,1954,0.971,1285,29,0.706,0.612,SecondClass,Customer N_125
Existing Customer,56,M,High School,Blue,1024,1.009,1651,28,1,0.359,FirstClass,Customer N_126
Existing Customer,46,M,Uneducated,Blue,2071,1.248,1767,38,2.167,0.101,SecondClass,Customer N_127
Existing Customer,50,F,Uneducated,Blue,1570,1.077,1130,28,1.333,0.512,SecondClass,Customer N_128
Existing Customer,51,F,Uneducated,Blue,1761,0.682,1645,30,0.429,0.806,SecondClass,Customer N_129
Existing Customer,47,F,Uneducated,Blue,746,0.993,1413,29,0.706,0.463,SecondClass,Customer N_130
Existing Customer,58,F,Uneducated,Blue,2173,1.456,1218,23,2.286,0.77,SecondClass,Customer N_131
Attrited Customer,46,M,Graduate,Blue,2517,0.658,597,17,0.7,0.076,FirstClass,Customer N_132
Existing Customer,53,M,High School,Blue,0,0.776,2184,53,0.828,0,SecondClass,Customer N_133
Existing Customer,52,F,High School,Blue,893,0.567,1388,28,0.75,0.133,SecondClass,Customer N_134
Existing Customer,50,M,High School,Silver,1260,0.588,1504,34,0.789,0.037,FirstClass,Customer N_135
Existing Customer,41,F,High School,Blue,1434,0.644,1503,34,0.478,0.146,SecondClass,Customer N_136
Existing Customer,45,F,Graduate,Blue,1777,0.791,1105,28,0.867,0.171,SecondClass,Customer N_137
Existing Customer,53,M,Uneducated,Blue,1836,1.432,2398,47,0.88,0.069,FirstClass,Customer N_138
Existing Customer,67,F,Graduate,Blue,2517,2.053,1661,32,1,0.837,SecondClass,Customer N_139
Existing Customer,57,F,Uneducated,Silver,1072,0.706,1421,22,1.444,0.055,SecondClass,Customer N_140
Existing Customer,59,F,Uneducated,Blue,985,0.35,999,28,0.556,0.294,SecondClass,Customer N_141
Existing Customer,45,M,Uneducated,Blue,2248,1.791,1387,18,0.8,0.39,SecondClass,Customer N_142
Existing Customer,51,M,Graduate,Blue,2107,0.948,1243,24,1,0.19,FirstClass,Customer N_143
Existing Customer,59,F,Uneducated,Blue,2001,1.334,1860,36,1,0.692,SecondClass,Customer N_144
Existing Customer,53,M,Graduate,Blue,1701,0.747,1502,25,1.273,0.503,SecondClass,Customer N_145
Existing Customer,47,M,Graduate,Blue,1251,0.949,1460,50,1.083,0.059,SecondClass,Customer N_146
Existing Customer,49,M,Post-Graduate,Blue,462,1.161,1087,33,0.941,0.074,FirstClass,Customer N_147
Existing Customer,60,F,College,Blue,738,0.782,1226,33,0.571,0.513,SecondClass,Customer N_148
Existing Customer,50,F,High School,Blue,1626,0.701,1230,28,0.867,0.174,SecondClass,Customer N_149
Existing Customer,57,M,Graduate,Blue,1976,1.768,1827,24,3,0.135,FirstClass,Customer N_150
Existing Customer,43,M,Graduate,Blue,0,0.731,1376,35,0.591,0,FirstClass,Customer N_151
Existing Customer,57,F,Graduate,Blue,1594,0.896,1771,37,0.762,0.251,SecondClass,Customer N_152
Existing Customer,54,M,Doctorate,Blue,1676,1.097,1873,52,0.529,0.078,FirstClass,Customer N_153
Existing Customer,51,F,Post-Graduate,Blue,1598,0.971,1679,42,0.556,0.463,SecondClass,Customer N_154
Existing Customer,47,F,High School,Blue,799,0.819,1002,22,0.571,0.133,SecondClass,Customer N_155
Existing Customer,41,M,High School,Blue,1998,0.829,1344,21,1.1,0.11,FirstClass,Customer N_156
Existing Customer,53,M,Uneducated,Blue,1423,1.642,1461,42,0.75,0.087,FirstClass,Customer N_157
Attrited Customer,68,M,High School,Blue,900,0.743,760,21,0.615,0.626,SecondClass,Customer N_158
Existing Customer,59,M,College,Blue,1687,1.242,1428,22,1.444,0.214,SecondClass,Customer N_159
Existing Customer,44,M,Graduate,Blue,2006,0.619,1302,27,0.8,0.176,SecondClass,Customer N_160
Existing Customer,48,M,College,Blue,1632,1.509,1483,41,0.519,0.133,FirstClass,Customer N_161
Existing Customer,47,M,Graduate,Silver,1679,0.623,1060,27,0.5,0.049,SecondClass,Customer N_162
Existing Customer,47,M,Graduate,Silver,1468,0.505,1330,32,0.684,0.043,SecondClass,Customer N_163
Existing Customer,43,F,High School,Silver,1580,0.504,1229,27,0.8,0.15,SecondClass,Customer N_164
Attrited Customer,55,F,Graduate,Blue,0,0.707,886,27,0.421,0,SecondClass,Customer N_165
Attrited Customer,59,M,Post-Graduate,Blue,0,0.688,844,24,0.5,0,SecondClass,Customer N_166
Existing Customer,63,M,Graduate,Blue,1779,1.259,1450,37,0.947,0.679,SecondClass,Customer N_167
Existing Customer,58,M,College,Blue,2395,1.071,2311,48,0.714,0.098,FirstClass,Customer N_168
Existing Customer,53,F,High School,Blue,1649,0.93,1378,26,1.167,0.694,SecondClass,Customer N_169
Existing Customer,52,M,Graduate,Blue,2207,0.869,1523,40,1.105,0.199,FirstClass,Customer N_170
Existing Customer,48,M,High School,Blue,2517,0.615,1374,37,0.762,0.22,SecondClass,Customer N_171
Existing Customer,43,M,High School,Blue,1721,0.908,1080,21,1.333,0.13,SecondClass,Customer N_172
Existing Customer,48,M,College,Blue,1955,0.531,1234,24,0.714,0.76,SecondClass,Customer N_173
Existing Customer,43,F,Graduate,Blue,1168,0.638,1600,32,0.455,0.202,SecondClass,Customer N_174
Existing Customer,41,M,High School,Blue,1202,0.603,1353,33,0.737,0.035,FirstClass,Customer N_175
Existing Customer,44,F,Uneducated,Silver,1835,2.368,1546,25,1.273,0.165,SecondClass,Customer N_176
Existing Customer,60,F,Uneducated,Blue,1272,1.008,1448,22,1,0.665,SecondClass,Customer N_177
Existing Customer,44,M,Graduate,Blue,2295,0.569,1271,24,0.714,0.598,FirstClass,Customer N_178
Existing Customer,48,F,Graduate,Blue,1141,0.616,1223,20,0.538,0.539,SecondClass,Customer N_179
Existing Customer,44,F,Graduate,Blue,679,0.859,1117,29,1.071,0.472,SecondClass,Customer N_180
Existing Customer,41,M,High School,Blue,1789,0.75,994,24,0.846,0.064,FirstClass,Customer N_181
Existing Customer,45,M,College,Blue,0,0.81,1468,26,0.625,0,SecondClass,Customer N_182
Existing Customer,47,F,Uneducated,Silver,2222,0.853,1658,38,0.357,0.16,SecondClass,Customer N_183
Existing Customer,51,F,Graduate,Blue,1304,0.604,1368,38,0.407,0.42,SecondClass,Customer N_184
Existing Customer,51,M,Graduate,Blue,1666,0.613,1218,18,0.8,0.048,FirstClass,Customer N_185
Attrited Customer,60,F,Uneducated,Blue,1025,0.838,702,12,0.714,0.713,SecondClass,Customer N_186
Existing Customer,41,M,Graduate,Blue,1748,1.073,1310,26,1,0.336,FirstClass,Customer N_187
Existing Customer,44,M,Post-Graduate,Blue,1644,0.921,1767,50,0.923,0.092,FirstClass,Customer N_188
Existing Customer,43,M,College,Blue,1819,0.767,933,25,0.923,0.666,SecondClass,Customer N_189
Existing Customer,55,M,College,Blue,1301,1.207,1512,27,1.455,0.147,SecondClass,Customer N_190
Attrited Customer,52,M,Uneducated,Blue,1833,0.723,829,17,0.7,0.987,FirstClass,Customer N_191
Existing Customer,44,M,Graduate,Blue,0,0.483,1120,27,0.35,0,FirstClass,Customer N_192
Existing Customer,41,M,Uneducated,Blue,1222,0.538,1506,33,0.941,0.11,SecondClass,Customer N_193
Existing Customer,39,M,High School,Blue,1475,1.148,2094,25,0.667,0.28,FirstClass,Customer N_194
Attrited Customer,49,M,College,Blue,0,0.734,815,21,0.615,0,SecondClass,Customer N_195
Attrited Customer,45,F,College,Blue,0,0.789,510,24,0.6,0,SecondClass,Customer N_196
Existing Customer,54,M,Graduate,Blue,1289,0.939,1377,49,0.69,0.65,FirstClass,Customer N_197
Existing Customer,49,M,Uneducated,Blue,1650,0.912,1193,33,0.65,0.355,FirstClass,Customer N_198
Attrited Customer,46,M,High School,Blue,0,0.98,701,19,0.727,0,FirstClass,Customer N_199
Existing Customer,47,M,Graduate,Blue,1532,1.018,1770,25,0.923,0.072,SecondClass,Customer N_200
Existing Customer,44,M,Doctorate,Blue,2480,0.435,1409,35,0.167,0.327,SecondClass,Customer N_201
Existing Customer,50,M,Post-Graduate,Blue,1486,0.868,1354,28,0.647,0.459,FirstClass,Customer N_202
Existing Customer,73,M,High School,Blue,1125,1.363,1765,34,1.615,0.252,SecondClass,Customer N_203
Attrited Customer,59,M,High School,Blue,1054,0.616,687,17,0.545,0.291,SecondClass,Customer N_204
Existing Customer,70,M,High School,Blue,1495,0.581,1227,15,0.875,0.46,SecondClass,Customer N_205
Existing Customer,55,F,High School,Blue,1152,0.969,1737,26,1.6,0.489,SecondClass,Customer N_206
Existing Customer,45,M,Uneducated,Blue,1510,0.609,1435,38,0.462,0.482,FirstClass,Customer N_207
Existing Customer,45,F,Uneducated,Blue,849,0.456,1321,28,0.75,0.24,SecondClass,Customer N_208
Existing Customer,40,M,Graduate,Blue,1378,0.73,1479,29,0.611,0.197,SecondClass,Customer N_209
Existing Customer,36,M,College,Blue,1652,0.854,1283,39,1.294,0.048,FirstClass,Customer N_210
Attrited Customer,59,F,Post-Graduate,Blue,0,1.038,689,23,0.353,0,SecondClass,Customer N_211
Existing Customer,41,M,Uneducated,Blue,795,0.707,1258,23,1.3,0.152,SecondClass,Customer N_212
Existing Customer,51,F,Graduate,Blue,1650,0.708,1339,20,0.538,0.317,SecondClass,Customer N_213
Attrited Customer,64,F,High School,Blue,0,1.021,960,18,0.385,0,SecondClass,Customer N_214
Existing Customer,54,M,Graduate,Blue,1434,0.923,1119,18,3.5,0.626,SecondClass,Customer N_215
Existing Customer,40,M,Uneducated,Blue,0,0.795,1382,31,1.067,0,SecondClass,Customer N_216
Existing Customer,57,M,Uneducated,Blue,0,0.814,1232,32,0.684,0,SecondClass,Customer N_217
Existing Customer,45,M,Graduate,Blue,1029,0.838,1542,16,1.286,0.162,FirstClass,Customer N_218
Existing Customer,41,M,High School,Blue,1576,0.826,1094,32,0.524,0.196,FirstClass,Customer N_219
Existing Customer,42,F,Uneducated,Blue,1769,0.759,1217,30,1.143,0.734,SecondClass,Customer N_220
Attrited Customer,45,M,Graduate,Blue,0,0.898,744,18,1,0,SecondClass,Customer N_221
Existing Customer,42,F,Uneducated,Blue,1007,0.84,1614,33,0.737,0.446,SecondClass,Customer N_222
Existing Customer,47,M,Uneducated,Blue,2481,1.302,1747,31,1.214,0.14,FirstClass,Customer N_223
Existing Customer,48,F,High School,Blue,1100,0.587,1144,22,1,0.262,SecondClass,Customer N_224
Existing Customer,43,M,Graduate,Silver,1440,1.117,1575,34,2.4,0.042,FirstClass,Customer N_225
Existing Customer,41,M,High School,Blue,2168,0.859,1463,24,1.667,0.094,FirstClass,Customer N_226
Existing Customer,54,F,Uneducated,Blue,1711,1.434,1706,21,1.625,0.308,SecondClass,Customer N_227
Existing Customer,61,M,Graduate,Blue,1999,2.145,2434,33,1.538,0.68,SecondClass,Customer N_228
Existing Customer,61,M,Uneducated,Blue,1274,1.015,1876,41,0.783,0.238,FirstClass,Customer N_229
Attrited Customer,48,M,High School,Blue,0,0.953,1000,25,0.786,0,FirstClass,Customer N_230
Existing Customer,45,F,Graduate,Blue,2517,0.771,1139,30,0.765,0.753,SecondClass,Customer N_231
Existing Customer,44,M,Graduate,Blue,1703,0.955,1273,27,0.588,0.117,SecondClass,Customer N_232
Existing Customer,55,M,Doctorate,Blue,1682,0.631,1579,36,1.118,0.102,SecondClass,Customer N_233
Existing Customer,48,M,Graduate,Blue,1718,0.607,937,28,0.556,0.131,SecondClass,Customer N_234
Existing Customer,45,M,College,Blue,1814,1.178,1749,37,2.083,0.078,SecondClass,Customer N_235
Existing Customer,60,M,High School,Blue,837,1.859,1424,29,1.417,0.255,SecondClass,Customer N_236
Existing Customer,55,M,High School,Blue,2217,0.799,2011,41,0.783,0.716,SecondClass,Customer N_237
Existing Customer,62,F,High School,Blue,1250,0.728,1208,31,0.632,0.609,SecondClass,Customer N_238
Existing Customer,38,F,High School,Blue,583,0.888,1259,24,1,0.405,SecondClass,Customer N_239
Existing Customer,46,M,High School,Blue,1418,0.612,1319,26,0.368,0.15,SecondClass,Customer N_240
Existing Customer,50,M,High School,Silver,2303,0.804,949,27,2,0.154,FirstClass,Customer N_241
Existing Customer,45,M,Uneducated,Blue,1343,0.869,1338,30,1.308,0.605,SecondClass,Customer N_242
Existing Customer,47,M,Post-Graduate,Blue,1577,0.657,1554,26,0.444,0.275,SecondClass,Customer N_243
Existing Customer,48,M,College,Gold,2061,0.722,1350,32,0.455,0.06,SecondClass,Customer N_244
Existing Customer,35,M,Uneducated,Blue,1130,0.963,1694,44,0.76,0.162,SecondClass,Customer N_245
Existing Customer,51,M,Graduate,Blue,1707,0.816,1678,40,0.538,0.07,FirstClass,Customer N_246
Existing Customer,47,M,Graduate,Blue,2030,0.776,1222,23,0.438,0.094,FirstClass,Customer N_247
Existing Customer,52,M,Graduate,Blue,0,0.788,1536,37,0.423,0,FirstClass,Customer N_248
Existing Customer,43,F,Uneducated,Blue,2475,0.697,1400,31,2.1,0.256,SecondClass,Customer N_249
Existing Customer,63,M,High School,Blue,930,0.885,1050,28,1.154,0.186,SecondClass,Customer N_250
Existing Customer,61,M,Graduate,Blue,1047,0.984,1389,33,1.2,0.648,SecondClass,Customer N_251
Existing Customer,53,M,Uneducated,Blue,0,0.656,1184,29,0.611,0,SecondClass,Customer N_252
Existing Customer,53,F,Graduate,Blue,2223,1.32,2093,42,1,0.806,SecondClass,Customer N_253
Attrited Customer,57,M,Graduate,Blue,1381,0.798,678,11,0.833,0.167,FirstClass,Customer N_254
Existing Customer,53,M,High School,Blue,2169,0.374,1219,27,0.5,0.412,SecondClass,Customer N_255
Existing Customer,49,F,High School,Blue,2070,0.541,1025,28,0.647,0.732,SecondClass,Customer N_256
Existing Customer,45,M,High School,Blue,1539,0.645,1165,33,0.833,0.123,FirstClass,Customer N_257
Existing Customer,67,M,Graduate,Blue,1297,1.012,2133,55,0.719,0.221,SecondClass,Customer N_258
Existing Customer,48,M,Graduate,Silver,0,0.448,1122,13,0.182,0,FirstClass,Customer N_259
Existing Customer,51,F,Uneducated,Blue,1926,0.549,1083,22,1.75,0.2,SecondClass,Customer N_260
Existing Customer,52,M,High School,Silver,2177,1.32,1234,23,1.875,0.063,FirstClass,Customer N_261
Existing Customer,34,M,High School,Blue,2517,0.952,1843,35,0.944,0.771,SecondClass,Customer N_262
Existing Customer,56,M,Uneducated,Blue,1355,0.685,1747,49,0.581,0.224,FirstClass,Customer N_263
Existing Customer,44,F,Post-Graduate,Blue,1823,0.617,1166,22,1.444,0.795,SecondClass,Customer N_264
Existing Customer,47,M,Post-Graduate,Blue,2505,0.627,1326,31,0.824,0.187,FirstClass,Customer N_265
